Column1
一人 (one person, alone)
二人 (two people, pair)
三日 (3rd day of the month)
四日 (4th day of the month)
五日 (5th day of the month)
六日 (6th day of the month)
七日 (7th day of the month)
八日 (8th day of the month)
九日 (9th day of the month)
十日 (10th day of the month)
百万円 (1 million Yen)
千万円 (10 million Yen)
万年筆 (fountain pen)
円い (round)
明日 (tomorrow)
毎週 (every week)
月曜日 (Monday)
今年 (this year), 去年 (last year)
時計 (clock, watch)
時間 (time, hours)
三十分 (thirty minutes), 自分 (oneself)
午前 (morning, A.M.)
名前 (name)
午後 (afternoon, P.M.)
今晩 (this evening), 今朝 (this morning)
先週 (last week), 先生 (teacher, master)
来月 (next month), 来る (to come)
半分 (half)
毎日(every day)
何曜日 (what day of the week)
人々 (people)
男の子 (boy)
女の子 (girl)
子供 (child)
母 (mother)
父 (father)
友達 (friend)
火曜日 (Tuesday)
水曜日 (Wednesday)
木曜日 (Thursday)
土曜日 (Saturday)
金曜日 (Friday)
日本語 (Japanese)
川 (river)
花火 (fireworks)
元気 (healthy, spirit, fine)
生徒 (pupil)
魚 (fish)
天気 (weather)
空 (sky)
山 (mountain)
雨 (rain)
電気 (electricity)
電車 (electric train)
英語 (English)
耳 (ear)
手紙 (letter)
足 (foot)
目 (eye)
出口 (exit)
名前 (name)
喫茶店 (coffee shop)
駅前 (in front of the station)
道具 (tool)
社長 (president of a company)
外国人 (foreigner)
外国 (foreign country)
大学 (university)
学校 (school)
上着 (jacket)
靴下 (socks)
日中 (during the day, midday)
北 (north)
西 (west)
東京 (Tokyo)
南 (south)
右 (right)
左 (left)
見せる (to show)
聞く (to listen, to hear)
辞書 (dictionary)
読む (to read)
電話 (telephone)
買い物 (shopping)
銀行 (bank)
出かける (to go out)
入口 (entrance)
休む (to take a day off)
食堂 (dining room)
飲み物 (beverage)
言う (to say)
立つ (to stand)
会社 (company)
多い (many), 多分 (probably)
少ない (few)
古い (old)
新しい (new), 新聞 (newspaper)
大きい (big), 大変 (dreadful, immense)
小さい (little)
安い (cheap)
高い (expensive)
長い (long), 部長 (manager)
白い (white), 面白い (interesting)
