Column1|Column2|Column3|Column4|Column5
Ohayōgozaimashi su|おはようございましす|Oha yo go zai masu|chào buổi sáng => buổi học, buổi đi làm chỉ chào phần này|0
Kon'nichiwa|こんにちは|konnichiwa|chào buổi chiều|0
Konbanwa|こんばんは|kombangwa/konbanwa|Chào buổi tối|0
Sensei|せんせい|sensei|Giáo viên|0
Sayōnara|さようなら|sayonara|chào tạm biệt|0
Mata ne|またね|matane|Hẹn gặp lại|0
Watashi|私|わたし|tôi|1
Watashitachi|私たち|わたし|chúng tôi, chúng ta|1
Kare|彼|かれ|anh ấy, bạn trai|1
Kanojo|彼女|かのじょ|cô ấy, bạn gái|1
Minasan|皆さん|みなさん|các anh chị, các ông bà,các bạn, quý vị|1
Anata|あなた|あなた|anh/chị, ông/bà, bạn (ngôi thứ II số ít)|1
 |あの人（あの方）|あのひと（あのかた）|người đó, anh kia, chị kia ( あのかた : vị kia - là cách nói lịch sự của あのひと )|1
 |教師|きょうし|giáo viên|1
 |先生|せんせい|thầy/cô|1
 |学生|がくせい|học sinh|1
 |運転手|うんてんしゅ|tài xế|1
 |会社員|かいしゃいん|nhân viên công ty|1
 |社員|しゃいん|nhân viên công ty|1
 |銀行員|ぎんこういん|nhân viên ngân hàng|1
 |医者|いしゃ|bác sĩ|1
 | エンジニア| エンジニア|kỹ sư|1
 |研究者|けんきゅしゃ|nhà nghiên cứu|1
 |留学生|りゅうがくせい|du học sinh|1
 |だれ（どなた）|だれ（どなた） |ai ( どなた : vị nào - là cách nói lịch sự của だれ )|1
 |大学|だいがく|đại học, trường đại học|1
 |病院|びょういん|bệnh viện|1
 |日本|にほん|Nhật Bản|1
 |ベトナム|ベトナム| Việt Nam|1
 |韓国|かんこく|Hàn Quốc|1
 |中国|ちゅうごく|Trung Quốc|1
 |アメリカ|アメリカ|Mỹ|1
 |イギリス|イギリス|Anh|1
 |～人|～じん|người ~|1
 |～語|～ご|tiếng ~|1
 |出身|しゅっしん|xuất thân, quê quán|1
 |～からき来した|～からきました|(tôi) đến từ ~|1
 |はい|はい|vâng, dạ|1
 |いいえ|いいえ|không|1
 |失礼ですが|しつれいですが|Xin lỗi,…(dùng khi hỏi ai đó về thông tin cá nhân như là tên hoặc địa chỉ của họ)|1
 |お名前をもう一度お願いします|おなまえをもういちどおねがいします|Anh/ Chị vui lòng nhắc lại tên một lần nữa được không ạ?|1
 |どうぞよろしくお願いします|どうぞよろしくおねがいします|Rất mong nhận được sự giúp đỡ của anh/chị!|1
 |そうですか|そうですか|Vậy à/ Thế à?|1
 |お仕事は何ですか|おしごとはなんですか|Công việc của anh/chị là gì thế?|1
 | |これ|cái này, đây (vật ở gần người nói)|2
 | |それ|cái đó, đó (vật ở gần người nghe)|2
" | |あれ|cái kia, kia (vật ở xa cả người nói 
và người nghe)|2"
 | |この～ |~ này|2
 | |その～|~ đó|2
 | |あの～|~ kia|2
 | |パソコン|máy tính cá nhân|2
 |携帯|けいたい|điện thoại di động|2
 |電話|でんわ|điện thoại|2
 | |アイフォン|iphone|2
 |充電器|じゅうでんき|sạc pin|2
 | |ヘッドフォン|tai nghe|2
 | |カメラ|máy ảnh|2
 | |テレビ|tivi|2
 |車|くるま|ô tô, xe hơi|2
 |時計|とけい|đồng hồ|2
 | |ペン|bút|2
 | |ボールペン|bút bi|2
 |鉛筆|えんぴつ|bút chì|2
 | |シャープペンシル|bút chì kim|2
 |消しゴム|けしゴム|tẩy|2
 |本|ほん|sách|2
 | |ノート|vở|2
 |手帳|てちょう|sổ tay|2
 |辞書|じしょ|từ điển|2
 |新聞|しんぶん|báo|2
 |雑誌|ざっし|tạp chí|2
 |名刺|めいし|danh thiếp|2
 | |カード|thẻ, cạc|2
 | |クレジットカード|thẻ tín dụng|2
 |帽子|ぼうし|mũ|2
 |財布|さいふ|ví|2
 | |かばん|cặp sách, túi sách|2
 |靴|くつ|giày|2
 | |スリッパ|dép đi trong nh|2
 |靴下|くつした|tất|2
 |鍵|かぎ|chìa khóa|2
 |傘|かさ|ô, dù|2
 |机|つくえ|bàn|2
 |椅子|いす|cái ghế|2
 |英語 |えいご|tiếng Anh|2
 |何|なん|cái gì (từ để hỏi)|2
 | |そう|đúng, phải, đúng vậy|2
" |違う,
違います|ちがう ,
ちがいます|không phải, sai rồi|2"
 | |スマホ|điện thoại di động|2
 |ほんの気持ち|ほんのきもち|Đây là chút lòng thành của tôi!|2
 | |カ|ô tô, xe hơi|2
